objectId,temp_out_F,heat_index_F,wind_chill_F,dew_point_F,humidity,barometer,windspeed,rain_rate,code_version,sampleTime,solarrad_Wm2,observationtime,createdAt,updatedAt,winddir
M05BXRGdS7,89,85,89,37,16,26.46,0,0,21June2024,2024-08-20 17:59:00,74,2024-08-20T23:59:00Z,2024-08-21T00:00:02.696Z,2024-08-21T00:00:02.696Z,
QFUyLwcjao,90,86,90,34,14,26.46,1,0,21June2024,2024-08-20 18:04:00,74,2024-08-21T00:04:00Z,2024-08-21T00:05:01.971Z,2024-08-21T00:05:01.971Z,112.0
GIEA4StW41,90,86,90,35,14,26.46,1,0,21June2024,2024-08-20 18:09:00,69,2024-08-21T00:09:00Z,2024-08-21T00:10:02.336Z,2024-08-21T00:10:02.336Z,112.0
UhemtfY2Pt,90,86,90,33,13,26.46,2,0,21June2024,2024-08-20 18:14:00,62,2024-08-21T00:14:00Z,2024-08-21T00:15:01.853Z,2024-08-21T00:15:01.853Z,112.0
6I8Wvtbmvz,90,86,90,33,13,26.46,1,0,21June2024,2024-08-20 18:19:00,56,2024-08-21T00:19:00Z,2024-08-21T00:20:02.206Z,2024-08-21T00:20:02.206Z,112.0
TdmYlyN3f0,90,86,90,33,13,26.46,2,0,21June2024,2024-08-20 18:24:00,60,2024-08-21T00:24:00Z,2024-08-21T00:25:01.848Z,2024-08-21T00:25:01.848Z,315.0
rPaEELSvlK,90,86,90,33,13,26.46,2,0,21June2024,2024-08-20 18:29:00,58,2024-08-21T00:29:00Z,2024-08-21T00:30:02.402Z,2024-08-21T00:30:02.402Z,315.0
xTEzFHNYIE,90,86,90,35,14,26.45,2,0,21June2024,2024-08-20 18:34:00,53,2024-08-21T00:34:00Z,2024-08-21T00:35:01.921Z,2024-08-21T00:35:01.921Z,292.0
o3nUPKGAot,90,86,90,33,13,26.45,2,0,21June2024,2024-08-20 18:39:00,49,2024-08-21T00:39:00Z,2024-08-21T00:40:01.407Z,2024-08-21T00:40:01.407Z,315.0
GQHfxmbkE4,90,86,90,34,14,26.45,3,0,21June2024,2024-08-20 18:44:00,50,2024-08-21T00:44:00Z,2024-08-21T00:45:02.015Z,2024-08-21T00:45:02.015Z,292.0
bAvLr7VDV8,90,86,90,36,15,26.45,3,0,21June2024,2024-08-20 18:49:00,44,2024-08-21T00:49:00Z,2024-08-21T00:50:02.127Z,2024-08-21T00:50:02.127Z,0.0
HGDYfbR86h,89,85,89,37,16,26.45,3,0,21June2024,2024-08-20 18:54:00,42,2024-08-21T00:54:00Z,2024-08-21T00:55:02.056Z,2024-08-21T00:55:02.056Z,292.0
9MUyRakK7I,89,85,89,37,16,26.45,3,0,21June2024,2024-08-20 18:59:00,65,2024-08-21T00:59:00Z,2024-08-21T01:00:01.662Z,2024-08-21T01:00:01.662Z,338.0
Ona2N93CHF,89,85,89,39,17,26.45,1,0,21June2024,2024-08-20 19:04:00,74,2024-08-21T01:04:00Z,2024-08-21T01:05:02.365Z,2024-08-21T01:05:02.365Z,0.0
BNujNHN2cw,89,85,89,39,17,26.45,1,0,21June2024,2024-08-20 19:09:00,69,2024-08-21T01:09:00Z,2024-08-21T01:10:02.269Z,2024-08-21T01:10:02.269Z,0.0
H14T0hkk9E,89,85,89,40,18,26.45,1,0,21June2024,2024-08-20 19:14:00,63,2024-08-21T01:14:00Z,2024-08-21T01:15:02.224Z,2024-08-21T01:15:02.224Z,45.0
yqWDYU61A3,88,85,88,42,20,26.45,0,0,21June2024,2024-08-20 19:19:00,46,2024-08-21T01:19:00Z,2024-08-21T01:20:02.037Z,2024-08-21T01:20:02.037Z,
0mM67Lo42i,87,84,87,43,22,26.45,0,0,21June2024,2024-08-20 19:24:00,47,2024-08-21T01:24:00Z,2024-08-21T01:25:02.046Z,2024-08-21T01:25:02.046Z,
DX8oeXqj35,86,83,86,44,23,26.45,1,0,21June2024,2024-08-20 19:29:00,19,2024-08-21T01:29:00Z,2024-08-21T01:30:01.609Z,2024-08-21T01:30:01.609Z,90.0
FbAZIWTYM4,85,82,85,43,23,26.45,1,0,21June2024,2024-08-20 19:34:00,21,2024-08-21T01:34:00Z,2024-08-21T01:35:01.755Z,2024-08-21T01:35:01.755Z,90.0
Su6YAFHB1j,85,82,85,43,23,26.45,1,0,21June2024,2024-08-20 19:39:00,9,2024-08-21T01:39:00Z,2024-08-21T01:40:02.344Z,2024-08-21T01:40:02.344Z,90.0
c8DxFvSmQx,84,82,84,44,24,26.45,0,0,21June2024,2024-08-20 19:44:00,5,2024-08-21T01:44:00Z,2024-08-21T01:45:01.754Z,2024-08-21T01:45:01.754Z,
